mapped,user_id,hinting,"Q1pre","Q2pre","Q4pre","Q5pre","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8",Please list some of your biggest questions or points of curiosity about AI and robotics -
True,3982,True,"Moderately well","4-6 times a week","Daily","Extremely curious","Very inclined","Extremely helpful","Moderately challenging","Very Intuitive","Very curious","Very well","Never","I did not receive any ""Hints""","If one should be worried if AI takes over or not?
3982"
True,2509,False,"Slightly well","4-6 times a week","Daily","Very curious","Very inclined","Very helpful","Very challenging","Slightly intuitive","Very curious","Moderately well","N/A","N/A","1) how well can a laymen understand how to use them?
2) How will AI be used for almost everything in daily life"
True,442,False,"Very well","Daily","4-6 times a week","Very curious","Slightly inclined","Moderately helpful","Moderately challenging","Slightly intuitive","Very curious","Very well","N/A","N/A",MS Robotics and Autonomous Systems
True,1513,False,"Moderately well","2-3 times a week","Daily","Moderately curious","Very inclined","Extremely helpful","Moderately challenging","Very Intuitive","Extremely curious","Extremely well","N/A","N/A","I am doing my Masters in software engineering. I don't know how AI works internally even though I use voiceAI and many other AI in my applications. I have tried JEDAI and I am curious how it chooses which option to take among the million possibilities that it van take when doing a task. I am also curious about how to make this website more optimal and how to compute the actions it is doing in real-time. "
True,4767,True,"Slightly well","Once a week","Once a week","Slightly curious","Moderately inclined","Very helpful","Not challenging at all","Moderately Intuitive","Moderately curious","Slightly well","Never","I did not receive any ""Hints""",No real prevalent questions at this time
True,4206,True,"Moderately well","Daily","Daily","Very curious","Slightly inclined","Very helpful","Slightly challenging","Moderately Intuitive","Very curious","Moderately well","Never","I did not receive any ""Hints""",how feasible to use AIs in daily life (especially b/c it is expensive)
True,3297,False,"Very well","Daily","Daily","Very curious","Very inclined","Extremely helpful","Moderately challenging","Very Intuitive","Very curious","Very well","N/A","N/A",
True,1415,True,"Moderately well","Daily","2-3 times a week","Extremely curious","Moderately inclined","Very helpful","Not challenging at all","Very Intuitive","Moderately curious","Extremely well","Never","I did not receive any ""Hints""","'- What are all the factors to consider when you think of making a robot for a specific task?
- What are the different Ai algorithms used in Robotics? I am familiar with the general Machine learning algorithms but not specific to robotics
- How much data is taken to make the model"
True,4879,False,"Slightly well","2-3 times a week","4-6 times a week","Very curious","Very inclined","Extremely helpful","Not challenging at all","Very Intuitive","Extremely curious","Very well","N/A","N/A",
True,1283,False,"Not at all","2-3 times a week","2-3 times a week","Moderately curious","Moderately inclined","Moderately helpful","Not challenging at all","Not intuitive at all","Moderately curious","Extremely well","N/A","N/A",
True,2199,True,"Very well","Daily","Daily","Extremely curious","Moderately inclined","Very helpful","Slightly challenging","Moderately Intuitive","Very curious","Very well","Once during the session","Slightly well",
True,3287,True,"Moderately well","4-6 times a week","2-3 times a week","Extremely curious","Extremely inclined","Very helpful","Moderately challenging","Very Intuitive","Extremely curious","Very well","Never","I did not receive any ""Hints""",Its seems extremely challenging to come up with such a nice robot! How long did the process take?
True,2437,True,"Moderately well","4-6 times a week","2-3 times a week","Very curious","Very inclined","Extremely helpful","Slightly challenging","Very Intuitive","Very curious","Very well","Never","I did not receive any ""Hints""","Robots may take a long time to build, so I'm curious to see whether they can be built in a more streamlined manner to produce many at a time with advanced AI capabilities."
True,961,False,"Extremely well","Daily","4-6 times a week","Extremely curious","Extremely inclined","Extremely helpful","Moderately challenging","Extremely Intuitive","Extremely curious","Moderately well","N/A","N/A","How does AI give us accurate results. How can we trust AI. 

- Major: Software Engineering"
True,1779,True,"Very well","2-3 times a week","Daily","Extremely curious","Extremely inclined","Extremely helpful","Moderately challenging","Very Intuitive","Very curious","Extremely well","Never","I did not receive any ""Hints""","1. Which machine learning algorithms to use depending upon problem
2. Processing the information and acting according to that with less latency and overheads
3. I'm curious if AI would some day outsmart human thinking abilities"
True,2818,True,"Not at all","Once a week","Never","Moderately curious","Very inclined","Moderately helpful","Slightly challenging","Very Intuitive","Very curious","Extremely well","Never","I did not receive any ""Hints""",The error message was a little difficult for me to understand but this was overall fun to try + interesting to learn about!
True,4172,False,"Slightly well","Once a week","Daily","Moderately curious","Not inclined at all","Moderately helpful","Very challenging","Slightly intuitive","Slightly curious","Moderately well","N/A","N/A",The first task was understandable and the error made sense. But for the second task I struggled with the error because the first sentence did not make sense and when I tried to fix the error for the second sentence I was not able to progress. My major is psychology (B.S). the task was still really cool though
True,1858,True,"Slightly well","4-6 times a week","4-6 times a week","Very curious","Very inclined","Very helpful","Moderately challenging","Moderately Intuitive","Very curious","Moderately well","Never","I did not receive any ""Hints""",I find it interesting how they keep evolving and getting more advanced in understanding large amounts of information.
